degradation_time_days,weight_loss,study_id,instance,adjusted_hb_ratio_formulation_mol,adjusted_hv_ratio_formulation_mol,degradation_condition,degradation_mechanism,additives,t_deg,degradation_environment,additive_type_1,additive1_percentage_wt,additive_type_2,additive2_percentage_wt,additive_type_3,additive3_percentage_wt,sample_shape_morphology,pha_degrading_microbes,experimental_scale
30.0,2.0,4.0,5,63.2,3.3,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,3.5,reinforcement,20.0,other,bacteria_dominated,large
60.0,4.0,4.0,5,63.2,3.3,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,3.5,reinforcement,20.0,other,bacteria_dominated,large
90.0,6.0,4.0,5,63.2,3.3,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,3.5,reinforcement,20.0,other,bacteria_dominated,large
150.0,9.0,4.0,5,63.2,3.3,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,3.5,reinforcement,20.0,other,bacteria_dominated,large
240.0,11.0,4.0,5,63.2,3.3,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,3.5,reinforcement,20.0,other,bacteria_dominated,large
300.0,13.0,4.0,5,63.2,3.3,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,3.5,reinforcement,20.0,other,bacteria_dominated,large
360.0,22.0,4.0,5,63.2,3.3,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,3.5,reinforcement,20.0,other,bacteria_dominated,large
30.0,0.0,4.0,6,81.225,4.275,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,4.5,not_applicable,0.0,other,bacteria_dominated,large
60.0,1.0,4.0,6,81.225,4.275,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,4.5,not_applicable,0.0,other,bacteria_dominated,large
90.0,2.0,4.0,6,81.225,4.275,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,4.5,not_applicable,0.0,other,bacteria_dominated,large
150.0,3.0,4.0,6,81.225,4.275,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,4.5,not_applicable,0.0,other,bacteria_dominated,large
240.0,6.0,4.0,6,81.225,4.275,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,4.5,not_applicable,0.0,other,bacteria_dominated,large
300.0,6.0,4.0,6,81.225,4.275,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,4.5,not_applicable,0.0,other,bacteria_dominated,large
360.0,10.0,4.0,6,81.225,4.275,aerobic,microbial_enzymatic,yes,27.3,marine_aquatic,plasticizer,10.0,filler,4.5,not_applicable,0.0,other,bacteria_dominated,large
7.0,0.0,5.0,1,94.0,6.0,aerobic,microbial_enzymatic,no,26.5,soil,not_applicable,0.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
14.0,4.0,5.0,1,94.0,6.0,aerobic,microbial_enzymatic,no,26.5,soil,not_applicable,0.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
21.0,9.0,5.0,1,94.0,6.0,aerobic,microbial_enzymatic,no,26.5,soil,not_applicable,0.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
28.0,10.0,5.0,1,94.0,6.0,aerobic,microbial_enzymatic,no,26.5,soil,not_applicable,0.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
7.0,0.0,5.0,2,84.6,5.4,aerobic,microbial_enzymatic,yes,26.5,soil,filler,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
14.0,5.0,5.0,2,84.6,5.4,aerobic,microbial_enzymatic,yes,26.5,soil,filler,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
21.0,10.0,5.0,2,84.6,5.4,aerobic,microbial_enzymatic,yes,26.5,soil,filler,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
28.0,12.0,5.0,2,84.6,5.4,aerobic,microbial_enzymatic,yes,26.5,soil,filler,10.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
7.0,2.0,5.0,3,75.2,4.8,aerobic,microbial_enzymatic,yes,26.5,soil,filler,20.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
14.0,8.0,5.0,3,75.2,4.8,aerobic,microbial_enzymatic,yes,26.5,soil,filler,20.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
21.0,13.0,5.0,3,75.2,4.8,aerobic,microbial_enzymatic,yes,26.5,soil,filler,20.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
28.0,15.0,5.0,3,75.2,4.8,aerobic,microbial_enzymatic,yes,26.5,soil,filler,20.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
7.0,3.0,5.0,4,65.8,4.2,aerobic,microbial_enzymatic,yes,26.5,soil,filler,30.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
14.0,13.0,5.0,4,65.8,4.2,aerobic,microbial_enzymatic,yes,26.5,soil,filler,30.0,not_applicable,0.0,not_applicable,0.0,films,bacteria_dominated,large
